City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (Inches),Snow (Inches)
0,Bredasdorp,ZA,-34.53,20.04,53.6,81,0,3.36,clear sky,0.0,0.0
1,Lichinga,MZ,-13.31,35.24,59.32,97,2,5.7,clear sky,0.0,0.0
2,Le Port,RE,-20.94,55.29,71.6,72,5,5.82,clear sky,0.0,0.0
3,Mopti,ML,14.67,-4.0,101.7,21,63,9.22,broken clouds,0.0,0.0
4,Punta Arenas,CL,-53.15,-70.92,42.8,93,90,10.29,light rain,0.0,0.0
5,Hobart,AU,-42.88,147.33,60.01,51,77,20.8,light rain,0.0,0.0
6,Avarua,CK,-21.21,-159.78,71.6,100,1,2.24,mist,0.0,0.0
7,Butaritari,KI,3.07,172.79,79.29,70,100,11.99,overcast clouds,0.0,0.0
8,Manzanillo,CU,20.34,-77.12,86.32,65,65,4.18,moderate rain,0.1,0.0
9,Shenjiamen,CN,29.96,122.3,68.27,97,100,2.89,overcast clouds,0.0,0.0
10,Poum,NC,-20.23,164.02,75.49,84,89,9.08,light rain,0.0,0.0
11,Sainte-Maxime,FR,43.3,6.63,68.0,60,61,3.36,light rain,0.0,0.0
12,Rikitea,PF,-23.12,-134.97,74.82,80,4,10.6,clear sky,0.0,0.0
13,Ushuaia,AR,-54.8,-68.3,42.8,81,55,8.9,broken clouds,0.0,0.0
14,Barrow,US,71.29,-156.79,33.8,80,1,14.99,clear sky,0.0,0.0
15,Chusovoy,RU,58.3,57.81,52.65,94,100,1.88,light rain,0.0,0.0
16,East London,ZA,-33.02,27.91,63.75,70,22,3.18,few clouds,0.0,0.0
17,Vao,NC,-22.67,167.48,73.31,84,71,13.73,light rain,0.0,0.0
18,Kinsale,IE,51.71,-8.53,64.0,67,58,13.87,broken clouds,0.0,0.0
19,Saskylakh,RU,71.92,114.08,35.82,85,68,4.61,broken clouds,0.0,0.0
20,Henties Bay,NA,-22.12,14.28,71.24,35,0,10.38,clear sky,0.0,0.0
21,Mataura,NZ,-46.19,168.86,38.16,80,52,2.73,broken clouds,0.0,0.0
22,Caravelas,BR,-17.71,-39.25,77.23,59,35,6.55,scattered clouds,0.0,0.0
23,Saint George,US,37.1,-113.58,95.0,15,1,4.7,clear sky,0.0,0.0
24,Provideniya,RU,64.38,-173.3,42.04,66,28,13.58,scattered clouds,0.0,0.0
25,Hermanus,ZA,-34.42,19.23,59.0,86,0,1.99,clear sky,0.0,0.0
26,Teahupoo,PF,-17.83,-149.27,78.01,83,20,3.36,few clouds,0.0,0.0
27,Talcahuano,CL,-36.72,-73.12,55.4,43,0,14.99,clear sky,0.0,0.0
28,Puerto Ayora,EC,-0.74,-90.35,84.2,58,75,11.41,broken clouds,0.0,0.0
29,Isla Vista,US,34.41,-119.86,71.01,64,40,8.05,scattered clouds,0.0,0.0
30,Tecoanapa,MX,16.52,-98.75,84.74,64,13,11.52,few clouds,0.0,0.0
31,Yashan,CN,22.2,109.94,77.74,90,40,2.95,scattered clouds,0.0,0.0
32,Deep River,CA,46.1,-77.5,53.01,100,90,4.7,light rain,0.0,0.0
33,Tiksi,RU,71.69,128.87,31.69,93,59,4.65,broken clouds,0.0,0.0
34,Vaini,TO,-21.2,-175.2,73.4,100,75,4.7,light intensity drizzle,0.0,0.0
35,Cidreira,BR,-30.18,-50.21,70.27,60,53,5.79,broken clouds,0.0,0.0
36,Talnakh,RU,69.49,88.4,37.4,79,77,13.42,broken clouds,0.0,0.0
37,New Norfolk,AU,-42.78,147.06,60.01,58,67,3.0,light rain,0.0,0.0
38,Souillac,MU,-20.52,57.52,71.6,88,20,2.24,few clouds,0.0,0.0
39,Clyde River,CA,70.47,-68.59,24.8,100,75,2.24,mist,0.0,0.0
40,Jiayuguan,CN,39.82,98.3,58.69,28,0,9.69,clear sky,0.0,0.0
41,Bubaque,GW,11.28,-15.83,79.68,85,100,10.11,overcast clouds,0.0,0.0
42,Mugla,TR,37.23,28.36,69.8,52,33,10.29,scattered clouds,0.0,0.0
43,Palmer,US,42.16,-72.33,75.99,43,40,4.7,scattered clouds,0.0,0.0
44,Cairns,AU,-16.92,145.77,69.8,83,75,8.05,broken clouds,0.0,0.0
45,Mar Del Plata,AR,-38.0,-57.56,63.0,87,90,8.05,overcast clouds,0.0,0.0
46,Ribeira Grande,PT,38.52,-28.7,64.4,100,75,12.75,light intensity drizzle,0.0,0.0
47,Maumere,ID,-8.62,122.21,77.95,80,2,3.74,clear sky,0.0,0.0
48,Itoman,JP,26.12,127.67,80.6,100,40,10.29,scattered clouds,0.0,0.0
49,Pisco,PE,-13.7,-76.22,66.99,82,40,9.17,scattered clouds,0.0,0.0
50,Dikson,RU,73.51,80.55,30.18,97,74,12.77,broken clouds,0.0,0.0
51,Torbay,CA,47.67,-52.73,73.0,72,40,32.21,scattered clouds,0.0,0.0
52,Cherskiy,RU,68.75,161.3,48.15,52,80,16.96,broken clouds,0.0,0.0
53,Hamilton,US,39.18,-84.53,73.99,49,75,5.82,broken clouds,0.0,0.0
54,Thompson,CA,55.74,-97.86,23.0,22,20,9.17,few clouds,0.0,0.0
55,Puerto Padre,CU,21.2,-76.6,87.8,58,75,2.24,broken clouds,0.0,0.0
56,Severo-Kurilsk,RU,50.68,156.12,38.88,91,90,10.8,overcast clouds,0.0,0.0
57,Tuatapere,NZ,-46.13,167.68,42.75,76,34,3.91,scattered clouds,0.0,0.0
58,Malpe,IN,13.35,74.72,84.2,89,75,1.21,thunderstorm,0.0,0.0
59,Pangnirtung,CA,66.15,-65.71,30.2,74,90,11.41,overcast clouds,0.0,0.0
60,Emboscada,PY,-25.15,-57.35,86.0,40,50,9.17,scattered clouds,0.0,0.0
61,Albany,US,42.6,-73.97,75.0,45,32,8.77,scattered clouds,0.0,0.0
62,Kidal,ML,18.44,1.41,101.3,13,86,7.34,overcast clouds,0.0,0.0
63,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,44.6,76,73,6.71,broken clouds,0.0,0.0
64,Luderitz,NA,-26.65,15.16,73.4,23,0,2.24,clear sky,0.0,0.0
65,Kodiak,US,57.79,-152.41,50.0,76,1,3.36,clear sky,0.0,0.0
66,Pionerskiy,RU,54.95,20.23,57.2,71,84,17.9,broken clouds,0.0,0.0
67,Jamestown,US,42.1,-79.24,63.0,76,90,13.87,overcast clouds,0.0,0.0
68,Kaputa,ZM,-8.47,29.66,74.86,61,15,2.51,few clouds,0.0,0.0
69,Uruzgan,AF,32.83,66.0,71.76,21,0,1.5,clear sky,0.0,0.0
70,Husavik,IS,66.04,-17.34,53.6,62,40,13.87,scattered clouds,0.0,0.0
71,Saint-Philippe,RE,-21.36,55.77,71.6,64,22,8.05,few clouds,0.0,0.0
72,Havre-Saint-Pierre,CA,50.23,-63.6,62.6,82,90,10.29,overcast clouds,0.0,0.0
73,Pagsangahan,PH,13.22,122.54,82.17,78,3,6.67,clear sky,0.0,0.0
74,Goderich,CA,43.75,-81.72,55.0,92,87,8.99,overcast clouds,0.0,0.0
75,Khatanga,RU,71.97,102.5,34.83,88,100,7.99,overcast clouds,0.0,0.0
76,Remedios,CU,22.49,-79.55,87.8,70,75,10.29,broken clouds,0.0,0.0
77,Iqaluit,CA,63.75,-68.51,28.4,86,90,6.93,light snow,0.0,0.0
78,Busselton,AU,-33.65,115.33,57.99,76,85,15.79,overcast clouds,0.0,0.0
79,Klaksvik,FO,62.23,-6.59,60.8,63,95,16.11,overcast clouds,0.0,0.0
80,Cape Town,ZA,-33.93,18.42,57.99,93,0,1.12,clear sky,0.0,0.0
81,Fortuna,US,40.6,-124.16,55.99,100,90,5.17,light rain,0.0,0.0
82,Arraial Do Cabo,BR,-22.97,-42.03,78.8,57,5,5.82,clear sky,0.0,0.0
83,Bluff,NZ,-46.6,168.33,45.43,74,26,7.31,scattered clouds,0.0,0.0
84,Roma,US,43.21,-75.46,68.0,59,75,9.17,broken clouds,0.0,0.0
85,Vila Franca Do Campo,PT,37.72,-25.43,64.4,93,75,14.99,light intensity drizzle rain,0.0,0.0
