City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2020-05-25 01:59:58,42.1,-79.24,73.4,64,1,6.93
1,Port Alfred,ZA,2020-05-25 01:59:58,-33.59,26.89,57.0,87,97,7.92
2,Yellowknife,CA,2020-05-25 01:59:58,62.46,-114.35,46.4,45,20,10.29
3,Mahon,ES,2020-05-25 01:59:58,39.89,4.27,59.0,67,0,4.7
4,Marsh Harbour,BS,2020-05-25 01:59:59,26.54,-77.06,77.76,76,100,16.62
5,Bilma,NE,2020-05-25 01:59:59,18.69,12.92,87.8,21,59,6.31
6,Olive Branch,US,2020-05-25 01:59:59,34.96,-89.83,82.4,74,40,5.84
7,Hobart,AU,2020-05-25 02:00:00,-42.88,147.33,50.0,66,75,8.05
8,Cukai,MY,2020-05-25 02:00:00,4.25,103.42,86.0,84,20,3.36
9,Rio Gallegos,AR,2020-05-25 01:57:11,-51.62,-69.22,47.1,63,100,29.84
10,Cedar Lake,US,2020-05-25 01:58:02,41.36,-87.44,81.0,69,40,10.78
11,Saint-Georges,GD,2020-05-25 02:00:00,12.06,-61.75,80.6,78,20,13.87
12,Mataura,NZ,2020-05-25 02:00:00,-46.19,168.86,52.7,84,86,2.55
13,Dakar,SN,2020-05-25 02:00:00,14.69,-17.44,69.8,94,20,4.7
14,Nome,US,2020-05-25 01:55:21,64.5,-165.41,53.6,66,90,12.75
15,Thompson,CA,2020-05-25 02:00:00,55.74,-97.86,64.4,23,20,10.29
16,Ribeira Grande,PT,2020-05-25 02:00:00,38.52,-28.7,64.76,92,100,14.05
17,Lakes Entrance,AU,2020-05-25 02:00:01,-37.88,147.98,54.0,92,90,4.0
18,Menongue,AO,2020-05-25 02:00:01,-14.66,17.69,53.62,62,66,3.15
19,Buzuluk,RU,2020-05-25 01:59:29,52.78,52.26,51.13,87,100,10.04
20,Cape Town,ZA,2020-05-25 01:55:13,-33.93,18.42,64.0,82,40,23.04
21,Coihaique,CL,2020-05-25 01:56:41,-45.58,-72.07,42.8,81,99,4.7
22,Carnarvon,AU,2020-05-25 02:00:01,-24.87,113.63,70.16,62,1,18.23
23,Cap Malheureux,MU,2020-05-25 02:00:01,-19.98,57.61,69.01,84,2,3.0
24,Rikitea,PF,2020-05-25 02:00:01,-23.12,-134.97,71.78,69,0,23.89
25,Matara,LK,2020-05-25 02:00:02,5.95,80.54,83.26,81,100,12.37
26,Gizo,SB,2020-05-25 02:00:02,-8.1,156.84,84.79,67,55,6.22
27,Maragogi,BR,2020-05-25 02:00:02,-9.01,-35.22,76.87,86,52,1.28
28,Carutapera,BR,2020-05-25 02:00:03,-1.2,-46.02,77.43,90,22,5.12
29,Busselton,AU,2020-05-25 02:00:05,-33.65,115.33,51.01,87,97,5.01
30,Kahului,US,2020-05-25 02:00:05,20.89,-156.47,87.8,43,40,21.92
31,Vaini,TO,2020-05-25 02:00:05,-21.2,-175.2,78.8,74,20,11.41
32,Kaeo,NZ,2020-05-25 02:00:06,-35.1,173.78,68.0,3,100,4.0
33,Osoyoos,CA,2020-05-25 02:00:06,49.03,-119.45,75.2,40,75,6.93
